ax,ay,az,gx,gy,gz
0.1052246,0.9675293,-0.1540527,0.3358779,-0.5725191,0.740458
0.1184082,0.9672852,-0.1540527,-2.549618,-0.7633588,0.9694656
0.1257324,0.9763184,-0.1032715,-1.839695,-0.4732824,-0.1526718
0.1191406,0.9709473,-0.08862305,-0.05343511,-0.2900764,-0.0610687
0.1188965,0.9768066,-0.1188965,0.1450382,-0.6641222,0.1221374
0.1135254,0.9685059,-0.1298828,-0.5877862,-0.5801527,0.4351145
-eTwist-,-e-,-e-,-e-,-e-,-e-
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.1315918,0.9699707,-0.1379395,-0.9541985,-1.175573,0.2061069
0.1369629,0.9624023,-0.1081543,0.351145,-1.656489,0.8244275
0.1313477,1.030029,-0.05541992,0.5725191,-2.48855,0.9007633
0.4633789,0.9462891,-0.1987305,-2.824427,-115.6641,-19.14504
0.4140625,0.9833984,-0.1079102,-17.69466,-248.1832,-35.12214
-0.2463379,0.9384766,-0.109375,-28.25954,-158.4198,-65.50381
-0.03515625,0.8391113,-0.3044434,-11.47328,-248.1832,-7.664122
-0.02539063,1.21582,0.07958984,-6.053435,-140.8397,-33.51145
-0.03588867,0.9125977,-0.1799316,-15.35878,-168.9237,15.98473
0.1843262,1.095703,0.05908203,10.74809,-206.084,11.62595
0.2390137,0.9038086,-0.2414551,-20.74046,-241.9924,-6.076336
0.1225586,0.9511719,-0.2092285,-14.65649,-248.1832,-12.49618
-0.232666,1.064697,0.0480957,-12.0229,-189.2214,16.50382
0.1533203,0.9743652,-0.03393555,-15.48092,-138.4809,9.458015
-0.2995605,0.9326172,-0.06079102,-18.12214,137.687,-31.17557
-0.314209,0.9016113,0.0612793,26.16031,130.7176,74.51145
0.1479492,1.218262,0.3210449,16.38168,208.6947,64.24428
1.550537,0.9030762,-0.3029785,10.19084,220.8244,-12.63359
0.04150391,0.8740234,-0.2763672,34.07634,214.8321,14.0687
0.03735352,1.100586,-0.08300781,22.12977,250.1298,-5.091603
0.1760254,0.8435059,-0.1398926,13.09924,194.4504,-20.48855
-0.2836914,1.172363,0.2255859,17.70992,218.9771,40.73283
0.2905273,0.9418945,-0.08007813,8.061069,250.1298,-4.687023
0.331543,0.8933105,-0.2370605,30.0229,214.0763,-10.93893
0.1010742,0.9003906,-0.3466797,20.45802,168.8702,-5.946565
0.2700195,0.994873,-0.2873535,7.007634,73.24428,-4.259542
0.06567383,0.965332,-0.1901855,-4.625954,15.42748,-0.5801527
0.01708984,0.9187012,-0.1516113,-13.61069,1.099237,7.549618
0.09082031,1.022461,0.06713867,1.312977,-3.938931,10.36641
0.1398926,0.9780273,-0.005615234,5.175572,-1.389313,8.877863
